Date,Open,High,Low,Close,Volume
2005-02-25,5.66268,6.38011,5.62789,6.36634,2195148.1632936
2005-02-28,6.4913,6.73506,6.35239,6.57503,1746376.0406802
2005-03-01,6.66556,6.7212,6.06666,6.17078,919749.77923507
2005-03-02,6.33824,6.33824,5.64175,5.78085,887554.97934725
2005-03-03,5.76028,6.03885,5.75312,5.97623,310916.16920445
2005-03-04,5.8991,6.3175,5.81583,6.14342,323122.76406077
2005-03-07,6.06666,6.26838,5.98312,6.16398,350748.55499076
2005-03-08,6.21265,6.2199,5.93436,6.00396,266379.34864787
2005-03-09,5.96916,5.97623,5.48842,5.56499,701770.11122246
2005-03-10,5.47484,5.63468,5.12631,5.41883,402020.1226962
2005-03-11,5.44673,5.66268,5.44673,5.62091,266946.84729048
2005-03-14,5.50238,5.59309,5.17506,5.49578,445280.0713069
2005-03-15,5.42572,5.49578,5.23778,5.42572,175037.86258035
2005-03-16,5.28652,5.48163,5.28652,5.42572,132804.35564331
2005-03-17,5.27257,5.43948,5.27257,5.34207,107488.32718106
2005-03-18,5.33509,5.50238,5.3283,5.42572,135122.71657534
2005-03-21,5.59309,5.59309,5.34207,5.37724,130914.84311733
2005-03-22,5.54406,5.72522,5.40505,5.62091,225191.62992914
2005-03-23,5.62091,5.63468,5.53029,5.57932,165027.10054004
2005-03-24,5.59309,5.72522,5.59309,5.64845,118754.46500653
2005-03-28,5.71144,5.71144,5.24493,5.30049,160297.94518495
2005-03-29,5.16101,5.22364,4.81974,5.02881,448192.80108242
2005-03-30,4.90319,5.25164,4.85463,5.0916,351262.3132316
2005-03-31,5.04946,5.21666,5.00089,5.06351,114603.55637442
2005-04-01,4.98014,5.11208,4.98014,5.03598,79316.533769175
2005-04-04,4.97298,5.03598,4.74335,4.84087,270883.86912361
2005-04-05,4.91762,5.11208,4.91762,4.98014,119143.54551529
2005-04-06,4.98014,5.04295,4.87566,4.92432,164426.28284834
2005-04-07,4.88961,5.13338,4.88961,4.97298,127062.73111901
2005-04-08,4.97298,4.97298,4.80578,4.84087,67992.356309801
2005-04-11,4.84087,4.85463,4.67386,4.69423,156528.59340534
2005-04-12,4.65265,4.82663,4.4648,4.75035,288082.94730364
2005-04-13,4.7294,4.78522,4.55514,4.68084,179002.82942238
2005-04-14,4.56928,4.63888,4.22792,4.35315,516978.36572224
2005-04-15,4.21368,4.38134,4.21368,4.24886,288997.60894164
2005-04-18,4.21368,4.34598,4.13013,4.17228,268906.22233875
2005-04-19,4.3672,4.43671,4.18586,4.402,553571.2800903
2005-04-20,4.43671,4.4648,4.26272,4.33929,258633.20713784
2005-04-21,4.33929,4.38134,4.06044,4.08138,371361.22349074
2005-04-22,4.12335,4.20662,4.06044,4.09543,158643.81561871
